No,category,productBrand,size,productName,kreamURL,stockXURL,soldoutURL,kream-pirce,stockX-pirce,soldoutPrice,image-1,image-2,image-3,image-4,price
1,BRAND,NIKE,260,Nike Air Force 1 '07 WB Flax,https://kream.co.kr/products/21935,https://stockx.com/nike-air-force-1-mid-07-flax-2022,https://www.soldout.co.kr/trade/detail/1336,126000,136000,127000,product_1_1.jpg,product_1_2.jpg,product_1_3.jpg,product_1_4.jpg,129667
2,BRAND,NIKE,260,Nike Air Force 1 '07 Low White,https://kream.co.kr/products/12831,https://stockx.com/nike-air-force-1-low-white-07,https://www.soldout.co.kr/trade/detail/7712,100000,121000,119000,product_2_1.jpg,product_2_2.jpg,product_2_3.jpg,product_2_4.jpg,113333
3,BRAND,NIKE,260,Nike Air Force 1 '07 Low Triple Black,https://kream.co.kr/products/36,https://stockx.com/nike-air-force-1-low-07-pro-tech-waterproof-triple-black,https://www.soldout.co.kr/trade/detail/7712,109000,124000,119000,product_3_1.jpg,product_3_2.jpg,product_3_3.jpg,product_3_4.jpg,117333
4,BRAND,NIKE,260,Nike x Peaceminusone Air Force 1 Low Para-Noise 3.0 Black and Multicolor,https://kream.co.kr/products/316783,https://stockx.com/nike-air-force-1-low-g-dragon-peaceminusone-para-noise-30,,200000,216000,,product_4_1.jpg,product_4_2.jpg,product_4_3.jpg,product_4_4.jpg,208000
5,BRAND,NIKE,260,Nike Court Vision Low Sail Light Orewood Brown,https://kream.co.kr/products/183515,https://stockx.com/apple-vision-pro,https://www.soldout.co.kr/trade/detail/5476617,57000,7248000,68000,product_5_1.jpg,product_5_2.jpg,product_5_3.jpg,product_5_4.jpg,2457667
6,BRAND,NIKE,260,Nike V2K Run Summit White Metallic Silver,https://kream.co.kr/products/137241,https://stockx.com/nike-v2k-run-summit-white-metallic-silver-womens,https://www.soldout.co.kr/trade/detail/5368510,70000,84000,80000,product_6_1.jpg,product_6_2.jpg,product_6_3.jpg,product_6_4.jpg,78000
7,BRAND,NIKE,260,Nike x Supreme Air Force 1 Low White,https://kream.co.kr/products/23632,https://stockx.com/nike-air-force-1-low-supreme-x-comme-des-garcons-2018,,185000,561000,,product_7_1.jpg,product_7_2.jpg,product_7_3.jpg,product_7_4.jpg,373000
8,BRAND,NIKE,260,Nike Dunk Low Retro Grey Fog,https://kream.co.kr/products/41193,https://stockx.com/nike-dunk-low-retro-fleece-swoosh-worn-blue,https://www.soldout.co.kr/trade/detail/11435,81000,190000,83000,product_8_1.jpg,product_8_2.jpg,product_8_3.jpg,product_8_4.jpg,118000
9,BRAND,NIKE,260,Nike V2K Run Black Anthracite,https://kream.co.kr/products/266659,https://stockx.com/nike-v2k-run-black-dark-smoke-grey,https://www.soldout.co.kr/trade/detail/5461151,85000,102000,139000,product_9_1.jpg,product_9_2.jpg,product_9_3.jpg,product_9_4.jpg,108667
10,BRAND,NIKE,260,Nike x Supreme Air Force 1 Low Black,https://kream.co.kr/products/23626,https://stockx.com/nike-air-force-1-low-supreme-x-comme-des-garcons-2018,https://www.soldout.co.kr/trade/detail/1371,214000,561000,649000,product_10_1.jpg,product_10_2.jpg,product_10_3.jpg,product_10_4.jpg,474667
11,BRAND,NIKE,260,Nike Dunk Low Retro Black,https://kream.co.kr/products/28029,https://stockx.com/nike-dunk-low-retro-white-black-2021,https://www.soldout.co.kr/trade/detail/6520,81000,89000,87000,product_11_1.jpg,product_11_2.jpg,product_11_3.jpg,product_11_4.jpg,85667
12,BRAND,NIKE,260,Nike ZoomX Vaporfly Next% 3 White Grey,https://kream.co.kr/products/107805,https://stockx.com/nike-zoomx-vaporfly-3-white-particle-grey,https://www.soldout.co.kr/trade/detail/5275265,166000,214000,225000,product_12_1.jpg,product_12_2.jpg,product_12_3.jpg,product_12_4.jpg,201667
13,BRAND,NIKE,260,Nike V2K Run Metallic Silver White,https://kream.co.kr/products/266889,https://stockx.com/nike-v2k-run-summit-white-metallic-silver-womens,https://www.soldout.co.kr/trade/detail/5565409,57000,84000,70000,product_13_1.jpg,product_13_2.jpg,product_13_3.jpg,product_13_4.jpg,70333
14,BRAND,NIKE,260,Nike V2K Run Black Anthracite,https://kream.co.kr/products/181385,https://stockx.com/nike-v2k-run-black-dark-smoke-grey,https://www.soldout.co.kr/trade/detail/5461151,78000,102000,139000,product_14_1.jpg,product_14_2.jpg,product_14_3.jpg,product_14_4.jpg,106333
15,BRAND,NIKE,260,Nike Zoom Fly 6 Eliud Kipchoge,https://kream.co.kr/products/379514,https://stockx.com/nike-zoom-fly-6-eliud-kipchoge-its-just-the-start,https://www.soldout.co.kr/trade/detail/5690051,160000,181000,174000,product_15_1.jpg,product_15_2.jpg,product_15_3.jpg,product_15_4.jpg,171667
16,BRAND,NIKE,260,Nike ACG Rufus Limestone and Black,https://kream.co.kr/products/282500,https://stockx.com/nike-acg-rufus-limestone-black,https://www.soldout.co.kr/trade/detail/5575760,131000,108000,168000,product_16_1.jpg,product_16_2.jpg,product_16_3.jpg,product_16_4.jpg,135667
17,BRAND,NIKE,260,Nike P-6000 Metallic Silver,https://kream.co.kr/products/24137,https://stockx.com/nike-p-6000-metallic-silver,https://www.soldout.co.kr/trade/detail/5269665,88000,106000,92000,product_17_1.jpg,product_17_2.jpg,product_17_3.jpg,product_17_4.jpg,95333
18,BRAND,NIKE,260,Nike x Peaceminusone Kwondo1 Black and White,https://kream.co.kr/products/112253,https://stockx.com/nike-x-travis-scott-full-zip-hoodie-white,,138000,206000,,product_18_1.jpg,product_18_2.jpg,product_18_3.jpg,product_18_4.jpg,172000
19,BRAND,NIKE,260,Nike Zoom Vomero 5 SP Black,https://kream.co.kr/products/138416,https://stockx.com/nike-zoom-vomero-5-dark-grey-black-white,https://www.soldout.co.kr/trade/detail/5371004,128000,178000,159000,product_19_1.jpg,product_19_2.jpg,product_19_3.jpg,product_19_4.jpg,155000
